wavelength_in,wavelength_out,intensity_out
380,380,100
381,381,100
382,382,100
383,383,100
384,384,100
385,385,100
386,386,100
387,387,100
388,388,100
389,389,100
390,390,100
391,391,100
392,392,100
393,393,100
394,394,100
395,395,100
396,396,100
397,397,100
398,398,100
399,399,100
400,400,100
401,401,100
402,402,100
403,403,100
404,404,100
405,405,100
406,406,100
407,407,100
408,408,100
409,409,100
410,410,100
411,411,100
412,412,100
413,413,100
414,414,100
415,415,100
416,416,100
417,417,100
418,418,100
419,419,100
420,420,100
421,421,100
422,422,100
423,423,100
424,424,100
425,425,100
426,426,100
427,427,100
428,428,100
429,429,100
430,430,100
431,431,100
432,432,100
433,433,100
434,434,100
435,435,100
436,436,100
437,437,100
438,438,100
439,439,100
440,440,100
441,441,100
442,442,100
443,443,100
444,444,100
445,445,100
446,446,100
447,447,100
448,448,100
449,449,100
450,450,100
451,451,100
452,452,100
453,453,100
454,454,100
455,455,100
456,456,100
457,457,100
458,458,100
459,459,100
460,460,100
461,461,100
462,462,100
463,463,100
464,464,100
465,465,100
466,466,100
467,467,100
468,468,100
469,469,100
470,470,100
471,471,100
472,472,100
473,473,100
474,474,100
475,475,100
476,476,100
477,477,100
478,478,100
479,479,100
480,480,100
481,481,100
482,482,100
483,483,100
484,484,100
485,485,100
486,486,100
487,487,100
488,488,100
489,489,100
490,490,100
491,491,100
492,492,100
493,493,100
494,494,100
495,495,100
496,496,100
497,497,100
498,498,100
499,499,100
500,500,100
501,501,100
502,502,100
503,503,100
504,504,100
505,505,100
506,506,100
507,507,100
508,508,100
509,509,100
510,510,100
511,511,100
512,512,100
513,513,100
514,514,100
515,515,100
516,516,100
517,517,100
518,518,100
519,519,100
520,520,100
521,521,100
522,522,100
523,523,100
524,524,100
525,525,100
526,526,100
527,527,100
528,528,100
529,529,100
530,530,100
531,531,100
532,532,100
533,533,100
534,534,100
535,535,100
536,536,100
537,537,100
538,538,100
539,539,100
540,540,100
541,541,100
542,542,100
543,543,100
544,544,100
545,545,100
546,546,100
547,547,100
548,548,100
549,549,100
550,550,100
551,551,100
552,552,100
553,553,100
554,554,100
555,555,100
556,556,100
557,557,100
558,558,100
559,559,100
560,560,100
561,561,100
562,562,100
563,563,100
564,564,100
565,565,100
566,566,100
567,567,100
568,568,100
569,569,100
570,570,100
571,571,100
572,572,100
573,573,100
574,574,100
575,575,100
576,576,100
577,577,100
578,578,100
579,579,100
580,580,100
581,581,100
582,582,100
583,583,100
584,584,100
585,585,100
586,586,100
587,587,100
588,588,100
589,589,100
590,590,100
591,591,100
592,592,100
593,593,100
594,594,100
595,595,100
596,596,100
597,597,100
598,598,100
599,599,100
600,600,100
601,601,100
602,602,100
603,603,100
604,604,100
605,605,100
606,606,100
607,607,100
608,608,100
609,609,100
610,610,100
611,611,100
612,612,100
613,613,100
614,614,100
615,615,100
616,616,100
617,617,100
618,618,100
619,619,100
620,620,100
621,621,100
622,622,100
623,623,100
624,624,100
625,625,100
626,626,100
627,627,100
628,628,100
629,629,100
630,630,100
631,631,100
632,632,100
633,633,100
634,634,100
635,635,100
636,636,100
637,637,100
638,638,100
639,639,100
640,640,100
641,641,100
642,642,100
643,643,100
644,644,100
645,645,100
646,646,100
647,647,100
648,648,100
649,649,100
650,650,100
651,651,100
652,652,100
653,653,100
654,654,100
655,655,100
656,656,100
657,657,100
658,658,100
659,659,100
660,660,100
661,661,100
662,662,100
663,663,100
664,664,100
665,665,100
666,666,100
667,667,100
668,668,100
669,669,100
670,670,100
671,671,100
672,672,100
673,673,100
674,674,100
675,675,100
676,676,100
677,677,100
678,678,100
679,679,100
680,680,100
681,681,100
682,682,100
683,683,100
684,684,100
685,685,100
686,686,100
687,687,100
688,688,100
689,689,100
690,690,100
691,691,100
692,692,100
693,693,100
694,694,100
695,695,100
696,696,100
697,697,100
698,698,100
699,699,100
700,700,100
701,701,100
702,702,100
703,703,100
704,704,100
705,705,100
706,706,100
707,707,100
708,708,100
709,709,100
710,710,100
711,711,100
712,712,100
713,713,100
714,714,100
715,715,100
716,716,100
717,717,100
718,718,100
719,719,100
720,720,100
721,721,100
722,722,100
723,723,100
724,724,100
725,725,100
726,726,100
727,727,100
728,728,100
729,729,100
730,730,100
731,731,100
732,732,100
733,733,100
734,734,100
735,735,100
736,736,100
737,737,100
738,738,100
739,739,100
740,740,100
